action,FOLD,CALL/CHECK,BETS/RAISE,pot,stack,active player
Checks,0,0,0,0.25,13.25,2
Checks,0,1,0,0.25,20.0,2
Bets,0,1,0,0.25,162.08,2
Checks,0,0,0,0.25,20.65,2
Folds,0,1,1,1.25,20.65,2
Checks,0,0,0,11.75,45.1,2
Folds,0,1,1,18.75,45.1,2
Bets,0,1,0,11.75,41.8,2
Checks,0,0,0,1.75,45.3,2
Calls,0,1,1,2.25,44.8,2
Bets,0,1,0,1.75,17.95,2
Bets,0,0,0,0.25,19.75,2
Folds,0,0,1,0.75,59.7,2
Checks,0,0,0,0.25,20.95,2
Checks,0,1,0,0.25,58.95,2
Checks,0,0,0,5.5,18.6,1
Calls,0,1,1,6.0,18.1,1
Bets,0,1,0,5.5,14.5,1
Checks,0,1,0,18.0,83.18,2
Checks,0,0,0,18.0,26.130000000000003,2
